route_id,agency_id,route_short_name,route_long_name,route_type,route_color
L311D18,18,311,,3,
L313D18,18,313,,3,
L314D17,17,314,,3,
L315D18,18,315,,3,
L316D8,8,316,,3,
L317D17,17,317,,3,
L318D17,17,318,,3,
L319D8,8,319,,3,
L320D17,17,320,,3,
L321D17,17,321,,3,
L325D11,11,325,,3,
L326D18,18,326,,3,
L327D18,18,327,,3,
L328D18,18,328,,3,
L331D18,18,331,,3,
L332D18,18,332,,3,
L333D18,18,333,,3,
L334D17,17,334,,3,
L335D18,18,335,,3,
L336D8,8,336,,3,
L337D18,18,337,,3,
L338D21,21,338,,3,
L339D18,18,339,,3,
L341D18,18,341,,3,
L343D18,18,343,,3,
L344D18,18,344,,3,
L346D10,10,346,,3,
L348D18,18,348,,3,
L349D10,10,349,,3,
L350D8,8,350,,3,
L353D18,18,353,,3,
L354D29,29,354,,3,
L356D8,8,356,,3,
L358D18,18,358,,3,
L361D14,14,361,,3,
L362D18,18,362,,3,
L367D10,10,367,,3,
L368D10,10,368,,3,
L369D10,10,369,,3,
L370D10,10,370,,3,
L371D10,10,371,,3,
L372D10,10,372,,3,
L373D10,10,373,,3,
L374D10,10,374,,3,
L375D10,10,375,,3,
L376D10,10,376,,3,
L377D10,10,377,,3,
L378D10,10,378,,3,
L379D10,10,379,,3,
L380D18,18,380,,3,
L381D11,11,381,,3,
L382D11,11,382,,3,
L383D18,18,383,,3,
L384D14,14,384,,3,
L385D18,18,385,,3,
L386D63,63,386,,3,
L387D11,11,387,,3,
L390D21,21,390,,3,
L391D18,18,391,,3,
L397D18,18,397,,3,
L398D13,13,398,,3,
L401D18,18,401,,3,
L402D11,11,402,,3,
L403D18,18,403,,3,
L404D11,11,404,,3,
L405D10,10,405,,3,
L406D10,10,406,,3,
L407D10,10,407,,3,
L409D11,11,409,,3,
L410D11,11,410,,3,
L411D13,13,411,,3,
L412D13,13,412,,3,
L413D10,10,413,,3,
L414D18,18,414,,3,
L415D18,18,415,,3,
L416D18,18,416,,3,
L417D10,10,417,,3,
L418D18,18,418,,3,
L419D10,10,419,,3,
L420D10,10,420,,3,
L421D13,13,421,,3,
L422D13,13,422,,3,
L423D13,13,423,,3,
L425D14,14,425,,3,
L426D11,11,426,,3,
L426D13,13,426,,3,
L427D13,13,427,,3,
L428D18,18,428,,3,
L429D13,13,429,,3,
L430D13,13,430,,3,
L432D13,13,432,,3,
L433D13,13,433,,3,
L435D11,11,435,,3,
L437D14,14,437,,3,
L438D21,21,438,,3,
L439D14,14,439,,3,
L440D21,21,440,,3,
L441D18,18,441,,3,
L442D18,18,442,,3,
L443D13,13,443,,3,
L444D18,18,444,,3,
L445D18,18,445,,3,
L446D17,17,446,,3,
L447D17,17,447,,3,
L448D17,17,448,,3,
L449D17,17,449,,3,
L451D18,18,451,,3,
L456D26,26,456,,3,
L461D18,18,461,,3,
L462D18,18,462,,3,
L463D18,18,463,,3,
L465D18,18,465,,3,
L469D18,18,469,,3,
L470D10,10,470,,3,
L471D10,10,471,,3,
L472D10,10,472,,3,
L473D10,10,473,,3,
L474D10,10,474,,3,
L475D10,10,475,,3,
L476D10,10,476,,3,
L477D10,10,477,,3,
L478D10,10,478,,3,
L479D18,18,479,,3,
L484D18,18,484,,3,
L488D21,21,488,,3,
L488D17,17,488,,3,
L489D18,18,489,,3,
L490D18,18,490,,3,
L491D13,13,491,,3,
L491D11,11,491,,3,
L492D11,11,492,,3,
L494D18,18,494,,3,
L495D18,18,495,,3,
L562D29,29,562,,3,
L601D18,18,601,,3,
L602D18,18,602,,3,
L603D10,10,603,,3,
L604D8,8,604,,3,
L606D18,18,606,,3,
L607D8,8,607,,3,
L608D10,10,608,,3,
L609D11,11,609,,3,
L610D18,18,610,,3,
L691D41,41,P1,,4,
L692D41,41,P2,,4,
L693D42,42,P3,,4,
L695D41,41,P5,,4,
L696D41,41,P6,,4,
L697D43,43,P7,,4,
L1703D18,18,BB2,,3,
L1705D14,14,GLOBUS,,3,
L1716D14,14,IKEA2,,3,
L1723D18,18,BB1,,3,
L2091D29,29,X-S1,,3,
L2210D29,29,X261,,3,
